species,left_wing,right_wing,left_foretibia,right_foretibia,left_hindtibia,right_hindtibia,thorax,avg_left/right_wing,avg_left/right_foretibia,,ratiowing,ratioforetibia,ratiothorax,,ratiowing,ratioforetibia,ratiothorax,,ratiowing,ratioforetibia,ratiothorax
Dmel,1.463,1.468,0.465,0.501,0.688,0.702,0.847,1.4655,0.483,,,,,,1.031047424,1.111801242,1.157024793,,1.017059024,1.196687371,1.417945691
Dmel,1.379,1.389,0.479,0.474,0.648,0.621,0.777,1.384,0.4765,,,,,,1.07333815,1.136411333,1.22007722,,1.066112717,1.281217209,1.527670528
Dmel,1.326,1.326,0.449,0.465,0.582,0.613,0.747,1.326,0.457,,,,,,1.123680241,1.184901532,1.198125837,,1.257164404,1.468271335,1.759036145
Dmel,1.356,1.352,0.46,0.447,0.621,0.612,0.755,1.354,0.4535,,,,,,1.126661743,1.188533627,1.260927152,,,,
Dmel,1.32,1.314,0.414,0.441,0.62,0.569,0.753,1.317,0.4275,,,,,,1.102126044,1.211695906,1.196547145,,,,
Dmel,1.4,1.403,0.463,0.485,0.639,0.646,0.837,1.4015,0.474,,,,,,1.043168034,1.095991561,1.09557945,,,,
Dmel,1.413,1.375,0.472,0.455,0.688,0.636,0.825,1.394,0.4635,,,,,,1.06133429,1.118662352,1.152727273,,,,
Dmel,1.33,1.319,0.44,0.43,0.61,0.581,0.748,1.3245,0.435,,,,,,1.114382786,1.124137931,1.187165775,,,,
Dmel,1.416,1.429,0.49,0.494,0.643,0.674,0.857,1.4225,0.492,,,,,,1.019683656,1.048780488,1.09218203,,,,
Dmel,1.359,1.352,0.448,0.459,0.617,0.629,0.793,1.3555,0.4535,,,,,,1.070822575,1.128996692,1.09331652,,,,
Dmel,1.316,1.29,0.463,0.478,0.634,0.624,0.721,1.303,0.4705,,,,,,1.151957022,1.11370882,1.33148405,,,,
Dmel,1.372,1.37,0.475,0.465,0.62,0.595,0.794,1.371,0.47,,,,,,1.047775346,1.055319149,1.196473552,,,,
Dmel,1.401,1.392,0.483,0.448,0.664,0.654,0.815,1.3965,0.4655,,,,,,1.087003222,1.090225564,1.12392638,,,,
Dmel,1.447,1.447,0.479,0.493,0.642,0.675,0.846,1.447,0.486,,,,,,1.035590878,1.072016461,1.06855792,,,,
Dmel,1.418,1.434,0.482,0.498,0.672,0.67,0.838,1.426,0.49,,,,,,1.004908836,1.031632653,1.099045346,,,,
Dmel,1.436,1.42,0.475,0.497,0.685,0.665,0.824,1.428,0.486,,,,,,1.024159664,1.08744856,1.202669903,,,,
Dmel,1.386,1.38,0.454,0.447,0.647,0.622,0.783,1.383,0.4505,,,,,,1.068329718,1.177580466,1.16091954,,,,
Dmel,1.397,1.388,0.466,0.466,0.632,0.649,0.775,1.3925,0.466,,,,,,1.057809695,1.126609442,1.197419355,,,,
Dmel,1.314,1.308,0.441,0.429,0.551,0.585,0.738,1.311,0.435,,,,,,1.105644546,1.151724138,1.281842818,,,,
Dmel,1.302,1.302,0.437,0.444,0.589,0.591,0.763,1.302,0.4405,,,,,,1.157066052,1.222474461,1.239842726,,,,
Dmel,1.406,1.4,0.451,0.485,0.652,0.643,0.826,1.403,0.468,,,,,,1.022808268,1.079059829,1.139225182,,,,
Dmel,1.399,1.4,0.46,0.481,0.629,0.601,0.781,1.3995,0.4705,,,,,,1.058949625,1.110520723,1.181818182,,,,
Dmel,1.363,1.361,0.435,0.451,0.625,0.61,0.756,1.362,0.443,,,,,,1.111967695,1.203160271,1.305555556,,,,
Dmel,1.353,1.335,0.449,0.437,0.598,0.604,0.787,1.344,0.443,,,,,,1.077752976,1.137697517,1.132147395,,,,
Dmel,1.35,1.305,0.453,0.463,0.6,0.603,0.786,1.3275,0.458,,,,,,1.165348399,1.195414847,1.263358779,,,,
Dmel,1.385,1.38,0.468,0.468,0.642,0.644,0.814,1.3825,0.468,,,,,,1.0079566,1.020299145,1.067567568,,,,
Dmel,1.414,1.439,0.46,0.494,0.671,0.659,0.839,1.4265,0.477,,,,,,1.084121977,1.167714885,1.176400477,,,,
Dmel,1.379,1.358,0.467,0.479,0.656,0.638,0.822,1.3685,0.473,,,,,,,,,,,,
Dmel,1.395,1.396,0.471,0.47,0.667,0.654,0.794,1.3955,0.4705,,,,,,,,,,,,
Dsim,1.14,1.13,0.362,0.386,0.523,0.52,0.684,1.135,0.374,,,,,,,,,,,,
Dsim,1.083,1.103,0.361,0.359,0.491,0.51,0.657,1.093,0.36,,,,,,,,,,,,
Dsim,1.139,1.153,0.396,0.397,0.533,0.542,0.729,1.146,0.3965,,,,,,,,,,,,
Dsim,1.127,1.127,0.385,0.383,0.517,0.518,0.679,1.127,0.384,,,,,,,,,,,,
Dsim,1.115,1.103,0.369,0.376,0.519,0.515,0.683,1.109,0.3725,,,,,,,,,,,,
Dsim,1.024,1.015,0.359,0.348,0.466,0.486,0.619,1.0195,0.3535,,,,,,,,,,,,
Dsim,1.07,1.064,0.348,0.363,0.475,0.476,0.64,1.067,0.3555,,,,,,,,,,,,
Dsim,1.102,1.091,0.375,0.38,0.527,0.515,0.672,1.0965,0.3775,,,,,,,,,,,,
Dsim,1.272,1.267,0.436,0.43,0.606,0.613,0.796,1.2695,0.433,,,,,,,,,,,,
Dsim,1.189,1.18,0.381,0.412,0.549,0.538,0.718,1.1845,0.3965,,,,,,,,,,,,
Dsim,1.137,1.146,0.368,0.369,0.502,0.525,0.704,1.1415,0.3685,,,,,,,,,,,,
Dsim,1.021,0.967,0.365,0.365,0.516,0.479,0.597,0.994,0.365,,,,,,,,,,,,
Dsim,1.114,1.12,0.38,0.383,0.514,0.502,0.677,1.117,0.3815,,,,,,,,,,,,
